ligand_id,ligand_id,smiles,predicted_vina_mean,predicted_vina_std,predicted_gnina_mean,predicted_gnina_std,final_score,rank_confidence,mean_rank,std_rank,SA,QED
Z18361360,Z18361360,COc1ccc(CC(=O)OCC(=O)NCCc2ccccc2)cc1,-0.6665586,0.44507796,9.018183e-05,0.39821488,-0.8890976,0.334546512046674,923882.35,150261.8727376559,1.652378623388012,0.754607450179901
Z220061488,Z220061488,O=C(CCN1CCN(Cc2ccc(Br)s2)CC1)Nc1ccccc1F,-0.08256496,0.3704282,8.498728e-05,0.46536627,-0.26777905,0.4972272841862643,698024.5,186772.9877379221,2.062653159253566,0.7636872669557029
Z647109354,Z647109354,Cc1nn2c(=O)cc(CN(C)C(C)c3ccc(Cl)cc3)nc2s1,0.8829691,0.2436766,8.174777e-05,0.40708226,0.7611308,0.8041190261821587,271951.35,92612.7517933006,2.9093808246624224,0.7254996494169486
Z1476785262,Z1476785262,C=CC(=O)NCCC(=O)Nc1cccc2c1CCCC2,-0.81724656,0.59896314,7.685423e-05,0.2963159,-1.1167281,0.3045447833759499,965535.25,194949.5380037806,2.145513366241641,0.8072767593020712
Z241072976,Z241072976,COC(=O)C1CCN(Cc2csc(-c3ccc(C(F)(F)F)cc3)n2)CC1,-0.03640802,0.5262086,7.457733e-05,0.74930346,-0.2995123,0.5181080059062917,669034.75,211377.93569596496,2.190351512645959,0.7407797248702126
Z600390068,Z600390068,Cc1ccccc1S(=O)(=O)Cc1ccccc1C(=O)O,-1.0652022,0.5137049,6.9420785e-05,0.36348563,-1.3220546,0.2403359023301041,1054679.65,143487.26352407556,1.8607415296571723,0.9393317089083286
Z26489976,Z26489976,Cc1c(C(=O)N2CCC(C)CC2)oc2ccc(Br)cc12,-0.5504185,0.27993643,6.864071e-05,0.5523654,-0.6903867,0.3591608023913278,889709.1,123386.3184603139,2.1364556305562736,0.7744896979965694
Z203868922,Z203868922,O=C(Cc1ccc(F)cc1)NCc1ccc(Cn2ccnc2)cc1,-0.3605514,0.31887668,6.4709784e-05,0.31108472,-0.5199897,0.4138385493571506,813797.25,123365.08981996284,1.902999397396611,0.7580290501119943
Z2865986383,Z2865986383,Cc1ccc(C=CS(=O)(=O)N2CCNC(=O)C2)cc1,-0.6546763,0.76597875,6.0616432e-05,0.6006131,-1.0376657,0.3583075953469946,890893.65,246620.82977138716,2.403237042218276,0.8872393278569566
Z1203102675,Z1203102675,Cc1noc(C)c1C(=O)N[C@@H](CC(C)C)C(=O)OCc1ccccc1,0.42351684,0.47197184,5.7327747e-05,0.26652226,0.18753092,0.6559440342853027,477670.1,223038.6424534771,2.5399375846879746,0.7802650764915878
Z195699774,Z195699774,CCc1ccc(NCC(=O)N2CCN(S(C)(=O)=O)CC2)cc1,-1.1622283,0.2427379,5.6383014e-05,0.2704731,-1.2835974,0.2078310224367053,1099807.8,61666.01792121816,1.9743528653834783,0.8678415582897998
Z335258860,Z335258860,CNc1cc(OC)c(OC)c(OC)c1,-6.5332274,1.0170364,5.537582,1.163549,-7.0417457,0.0011874887456332,1386701.35,2058.9992296016044,1.8120461727366717,0.7978857554672878
Z2230838004,Z2230838004,CN1CCC(=O)Nc2cc(C(=O)N3CCC(CO)(c4ccccc4)CC3)ccc21,0.12063311,0.33594257,5.405396e-06,0.22971088,-0.047338173,0.5666610724961285,601626.1,144832.58467344288,2.544352039222801,0.8409255375773311
