ligand_id,smiles,predicted_vina_mean,predicted_vina_std,predicted_gnina_mean,predicted_gnina_std,final_score,rank_confidence,mean_rank,std_rank,SA,QED,PAINS
Z335258860,CNc1cc(OC)c(OC)c(OC)c1,-6.5332274,1.0170364,5.537582,1.163549,-7.0417457,0.0011874887456332,1386701.35,2058.9992296016044,1.812046172736672,0.7978857554672878,Anil_di_alk_c(246)
Z1263129694,C#CCN(C)c1cc(OC)c(OC)c(OC)c1,-4.7227583,0.87115705,4.285783,0.8283244,-5.1583366,0.0068437713832967,1378848.45,11754.335210785,2.417603036690055,0.7279100706653558,Anil_di_alk_c(246)
Z594273880,COc1cc(N2CCNCC2)cc(OC)c1OC,-4.1189647,0.5183298,4.040899,0.6551014,-4.3781295,0.0076725969676234,1377697.75,5291.788382720912,2.0100651997475705,0.8696338986259159,Anil_di_alk_c(246)
Z2511829864,CNc1ccc(OC)c(C#N)c1,-4.9218864,1.2932148,4.037947,1.0999869,-5.568494,0.0055940504915907,1380583.5,8246.120078558157,2.003675827142104,0.7180753820350116,Anil_di_alk_c(246)
Z286407122,CCNc1ccc(OC)c(OC)c1,-4.7590647,0.8310879,4.013097,1.2195052,-5.1746087,0.0041997695105701,1382519.25,3456.822542089773,1.5505743653934427,0.7714980218583455,Anil_di_alk_c(246)
Z104655746,COc1cc(NCCCO)cc(OC)c1OC,-4.6274786,0.67179173,3.892989,0.32173735,-4.9633746,0.0056761983649656,1380469.45,5850.715524403832,1.9097094623642883,0.7084831375145673,Anil_di_alk_c(246)
Z594273992,COc1ccc(N2CCNCC2)c(OC)c1,-4.1454263,0.31377414,3.750726,0.43130806,-4.3023133,0.0077530881982209,1377586.0,8584.986703542412,1.8474899469202375,0.8304832792424253,Anil_di_alk_c(246)
Z1101435075,CNCc1ccc(OC)c(C)c1.Cl,-5.574716,2.4410589,3.6790633,1.4622831,-6.7952456,0.0092466236899917,1375512.45,17640.946322334865,1.808489071275794,0.8094518106799076,Anisol_b(2)
Z727801992,COC(=O)C(C)Nc1ccc(OC)cc1,-4.793529,0.9574245,3.6655154,1.079827,-5.272241,0.0047091151366729,1381812.1,4588.664063755376,2.078244820117272,0.7661329380951274,Anil_di_alk_c(246)
Z266654348,COCCNc1ccc(OC)c(OC)c1,-4.4474797,0.7929634,3.6339912,0.6504367,-4.8439612,0.0060661216552021,1379928.1,5172.041066155604,1.6365408111116082,0.7277620601653292,Anil_di_alk_c(246)
Z744729070,Cl.Cl.Nc1ccc(CN2CCCCCC2)cc1,-5.503039,2.0471985,3.4827569,1.0875722,-6.526638,0.0083693232974394,1376730.45,16977.853555367357,1.8502027022418943,0.838395666669204,Anil_no_alk(40)
Z2327691573,COc1ccc(NCC(C)C)cc1.Cl,-4.5069504,1.4319848,3.4367988,1.0656489,-5.222943,0.0110524003313285,1373005.4,16481.628522084826,1.6690901491017025,0.833230561462008,Anil_di_alk_c(246)
Z2301235138,COc1cc2c(c(OC)c1)NCCC2.Cl,-4.7504416,1.7706205,3.3883724,1.1308035,-5.6357517,0.0092125184571613,1375559.8,13315.13573194055,2.3882591976031677,0.8454165153670781,Anil_di_alk_c(246)
Z281887310,COc1cc(NC2CCCCNC2=O)cc(OC)c1OC,-3.3841891,0.93395,3.3629165,0.98621047,-3.851164,0.0268551157849246,1351065.7,38215.52417028975,2.6441200942198453,0.8663204466404936,Anil_di_alk_c(246)
Z98620150,COC(=O)C(C)Nc1cc(Cl)c(OC)cc1OC,-3.566054,0.7628876,3.3286471,0.47100407,-3.9474978,0.020490834443764,1359901.55,26053.274725982148,2.459049266142042,0.8346777710910691,Anil_di_alk_c(246)
Z57327179,CCNCc1ccc(N(C)C)cc1,-3.8951077,1.2696189,3.327723,1.3202223,-4.5299172,0.0229004933914358,1356556.1,40480.28430841365,1.6766666730857498,0.7567910581458784,Anil_di_alk_d(198)
Z271330816,CCN(CC)C(=O)C(C)Nc1cc(OC)c(OC)c(OC)c1,-3.087544,0.507731,3.272,0.36827993,-3.3414094,0.0294924910865415,1347404.1,31256.235825671647,2.5693974841686966,0.798645297228766,Anil_di_alk_c(246)
Z1262254324,COc1ccc(NC(C)C)cc1F.Cl,-4.602816,1.3881122,3.2714162,0.8715896,-5.296872,0.0093253502358915,1375403.15,15051.652913467677,1.8981498164613697,0.84382872760928,Anil_di_alk_c(246)
Z2327226437,Cl.Cl.NCc1ccc(N2CCCCC2)cc1,-5.790346,2.424087,3.2609859,1.1672208,-7.00239,0.0076379875391651,1377745.8,13484.5663022583,1.899789978031695,0.8883724694370009,Anil_di_alk_e(186)
Z730522964,CNc1ccc(OCCOC)cc1,-4.1757174,0.78702563,3.2592194,0.70045817,-4.56923,0.0079788958115748,1377272.5,5986.18821538381,1.6317981699672472,0.7019130262787664,Anil_di_alk_c(246)
Z851395274,COc1ccc(N(C)CCCO)cc1OC,-3.7101312,0.4223789,3.2069697,0.38639694,-3.9213207,0.0126548780926999,1370780.6,9334.94333351842,1.9018173564672125,0.7967674327294887,Anil_di_alk_c(246)
Z959357814,Cc1cc(N(C)C)ccc1CN,-3.474348,1.1759796,3.2063606,1.24895,-4.062338,0.0310316562826377,1345267.2,50134.68205603781,2.002136753715531,0.7177436647938997,Anil_di_alk_e(186)
Z414318864,Cl.Nc1ccc(COCC(F)(F)F)cc1,-4.7659883,1.8102562,3.1648586,0.98433125,-5.6711164,0.0097170382108257,1374859.35,16879.343047864746,2.10620057442522,0.8262469032809099,Anil_no_alk(40)
Z2587997754,CNc1ccc(N2CCOCC2)cc1.Cl.Cl,-5.7729006,2.76917,3.1506572,1.0688819,-7.1574855,0.0094762847985017,1375193.6,16299.249121968778,2.027870121144396,0.8882975664932597,Anil_di_alk_a(478)
Z104479456,CCN(c1ccc(N)cc1)C(C)C.Cl,-4.5903563,1.7407068,3.1170983,0.93328077,-5.4607096,0.0107726077718154,1373393.85,14415.805566374014,2.1705075087690613,0.7845097403009283,Anil_no_alk(40)
Z3301410533,COc1ccc(N2CCNCC2)cc1OC.Cl.Cl,-5.290845,1.8491578,3.1076913,0.91655517,-6.2154236,0.0074613750135051,1377991.0,13131.094242293748,2.0586808106073,0.9240318456905358,Anil_di_alk_c(246)
Z969560732,CC(N)Cc1ccc(N(C)C)cc1.Cl.Cl,-4.926167,1.9295832,3.1049814,0.79201716,-5.890959,0.0091474051932149,1375650.2,13648.263529108748,2.511688580575667,0.893797416547862,Anil_di_alk_e(186)
Z1171217561,COc1cc(OC)c(N(CCO)CCO)cc1Cl,-3.4296234,0.7112585,3.0924165,0.27181607,-3.7852526,0.0225905211221953,1356986.45,24936.621396001105,2.3033293977344567,0.7816028447306697,Anil_di_alk_c(246)
Z28173636,O=C(Cc1cccs1)Nc1nccs1,-2.786262,0.8379716,3.076952,1.1960151,-3.2052479,0.0489268556199806,1320422.4,65146.46121348418,2.1013939065176537,0.8693960816290195,Thiophene_e(2)
Z414834438,COc1ccc(N2CCCNCC2)cc1,-3.9583602,1.1250615,3.0703914,0.815356,-4.520891,0.0163310764576656,1365676.75,26874.501433282443,1.7218824195032187,0.7932337504579559,Anil_di_alk_c(246)
Z1262433903,COC(=O)c1sc(C)c(Br)c1O,-3.9680932,0.37109303,3.0678594,0.53512967,-4.15364,0.0098574206792235,1374664.45,9241.714388981083,2.7072730750554808,0.7788210684520789,Thiophene_hydroxy(28)
Z281886926,COc1ccc(NC2CCCCNC2=O)cc1,-3.725729,1.3330952,3.0677018,1.0776119,-4.392277,0.0348688010948248,1339939.9,75260.48602414152,2.390644692006383,0.8377723195679482,Anil_di_alk_c(246)
Z203884184,Nc1ccc(OCC(F)(F)F)cc1,-3.874667,1.0275334,3.0674126,1.0274818,-4.3884335,0.0151801058810818,1367274.7,19965.668699294794,1.856132057701135,0.7271062521804686,Anil_no_alk(40)
Z57986546,Cl.Cl.Nc1ccc(CN2CCOCC2)cc1,-5.478809,2.2306776,3.0657878,0.9236022,-6.5941477,0.0084031764324558,1376683.45,16180.733436636918,1.950718063899316,0.8304760909640838,Anil_no_alk(40)
Z331853002,CCN(CC)c1ccc(CN)cc1,-3.3867848,0.95034885,3.065207,1.1186664,-3.8619592,0.0269775632945583,1350895.7,36847.19729518108,1.811970519239594,0.7636697395724623,Anil_di_alk_e(186)
Z102766826,CCN(CC)c1ccc(CNC)cc1,-3.387347,1.0535514,3.0597644,1.2087647,-3.9141226,0.0313881586055388,1344772.25,48628.627961186605,1.817652183325272,0.7694798294268658,Anil_di_alk_d(198)
Z367680110,COc1ccc(N2CCCNC(=O)C2)cc1,-3.8335278,0.94797444,3.0513954,0.65667933,-4.307515,0.0149143947851765,1367643.6,14199.867271914902,1.90524044859248,0.8087895244117751,Anil_di_alk_c(246)
Z44300010,COc1cc(C=C(C#N)C#N)cc(OC)c1OC,-2.806983,0.393032,3.0477438,0.75676966,-3.003499,0.0354349047430403,1339153.95,23772.159008964663,2.337037717985634,0.7582923926345889,Ene_cyano_a(19)
Z56886603,COc1ccc(NCCC#N)cc1,-3.8594227,0.6526894,3.027412,1.0818793,-4.185767,0.0113218208664961,1372631.35,10695.764148834807,1.7792110597801365,0.7136596852049946,Anil_di_alk_c(246)
Z839810644,COC(=O)CNc1ccc(OC)cc1C(=O)OC,-3.82537,0.6445755,3.0167775,0.8870894,-4.147658,0.0114935354917707,1372392.95,8611.271511658426,1.87176173682394,0.7910397961618885,Anil_di_alk_c(246)
Z259726284,COc1cc2c(cc1OC)NCC2,-3.0420313,1.4178545,3.0004153,1.5739641,-3.7509584,0.0769389923290236,1281531.75,146939.38002110767,2.038167816536893,0.7487307996844099,Anil_di_alk_c(246)
