SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CCOC(=O)CN1N=C(C)C=2C(=CC(=NC21)C=3C=CC=CC3)C(F)(F)F,Z2037166075,363.335,363.335,4.346,-4.652,0,3,57.01,6,https://real.enamine.net/public-enum-files/Z2037166075
O=C(NC=1C=CC=CC1)NC=2C=CC(=CC2)C(=O)N3CCOCC3,Z56801349,325.363,325.363,2.191,-4.225,2,3,70.67,6,https://real.enamine.net/public-enum-files/Z56801349
O=C(O)C=1C=CC=C(C1)S(=O)(=O)N2CCCC=3C=CC=CC32,Z45614739,317.361,317.361,3.378,-4.066,1,4,74.68,3,https://real.enamine.net/public-enum-files/Z45614739
CC=1C=CC(=CC1)S(=O)(=O)N2CC(CC=3C=CC=CC3F)C2,Z1266876558,319.395,319.395,3.991,-4.79,0,2,37.38,4,https://real.enamine.net/public-enum-files/Z1266876558
COC(=O)CC1=CSC(=N1)NC=2C=CC=CC2Cl,Z56865049,282.747,282.747,3.459,-3.78,1,3,51.22,5,https://real.enamine.net/public-enum-files/Z56865049
O=C(CN1C(=O)C2CC=CCC2C1=O)NC3=C(N=C4SC=CN34)C=5C=CC(F)=CC5,Z88593129,424.45,424.45,2.645,-5.7,1,4,83.78,5,https://real.enamine.net/public-enum-files/Z88593129
O=C(CC1SC=2C=CC=CC2NC1=O)N3CCC=4SC=CC4C3C=5C=CC=CC5,Z279528318,420.55,420.55,3.416,-6.21,1,2,49.41,4,https://real.enamine.net/public-enum-files/Z279528318
NC(=O)C=1C=CC=C(C1)COC=2C=CC=CC2Cl,Z370728076,261.704,261.704,2.965,-4.22,1,2,52.32,4,https://real.enamine.net/public-enum-files/Z370728076
CC(CCC=1C=CC=CC1)NC(=O)CN2C(=O)C(C#N)=C3CCCN3C2=O,Z51566341,366.415,366.415,2.497,-3.11,1,4,93.51,6,https://real.enamine.net/public-enum-files/Z51566341
CN1C(=O)C2=C(N=C(N2CC=3C=CC=CC3)N4CCOCC4)N(C)C1=O,Z56804816,355.392,355.392,1.474,-3.37,0,5,70.91,3,https://real.enamine.net/public-enum-files/Z56804816
COC1=CN(N=C1C(=O)NC=2C=CC=CC2N3CCCCC3)C=4C=CC=CC4,Z88459897,376.453,376.453,3.798,-4.553,1,4,59.39,5,https://real.enamine.net/public-enum-files/Z88459897
CCOC(=O)C1=C(NC2=NS(=O)(=O)C=3C=CC=CC23)SC=4CCCCC14,Z56799302,390.479,390.479,3.944,-5.89,1,5,84.83,5,
CC=1C=CC(=CC1F)C(=O)NCC=2C=CC=C(C2)OCC3=CC=CC=N3,Z421840888,350.387,350.387,3.863,-4.74,1,3,51.22,6,https://real.enamine.net/public-enum-files/Z421840888
CN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC3=NN=CN3,Z56811511,357.389,357.389,1.552,-5.306,2,5,108.05,6,https://real.enamine.net/public-enum-files/Z56811511
CC1=CC(=O)N2N=C(OC=3C=CC(F)=C(F)C3)SC2=N1,Z368511424,295.266,295.266,1.266,-4.82,0,3,54.26,2,https://real.enamine.net/public-enum-files/Z368511424
CN(C)C=1C=CC(=CN1)C(=O)N(C)C=2C=CC=CC2,Z363382752,255.316,255.316,1.991,-2.916,0,3,36.44,3,https://real.enamine.net/public-enum-files/Z363382752
COC=1C=CC(=CN1)NC(=O)C2=CN(N=N2)C=3C=CC(C)=CC3,Z406756986,309.323,309.323,3.142,-3.471,1,5,81.93,5,https://real.enamine.net/public-enum-files/Z406756986
CC1(NC(=O)NC1=O)C=2C=CC(=CC2)OCC(N)=O,Z56865131,263.25,263.25,-0.54,-2.01,3,4,110.52,4,https://real.enamine.net/public-enum-files/Z56865131
NC(=O)CCC(NC(=O)C=1C=CC(F)=CC1)C(=O)O,Z56812809,268.242,268.242,-0.501,-2.29,3,4,109.49,7,https://real.enamine.net/public-enum-files/Z56812809
O=C1C=2C=CC=C(Br)C2C(=O)N1C3CCC(=O)NC3=O,Z3770062788,337.126,337.126,1.467,-3.967,1,4,83.55,1,https://real.enamine.net/public-enum-files/Z3770062788
NC(=O)C1=CN(N=C1C=2C=CC=CC2)C=3C=CC=CC3,Z56820817,263.295,263.295,2.719,-3.898,1,2,60.91,3,https://real.enamine.net/public-enum-files/Z56820817
CC=1C=CC=2C(=CC(=NC2C1C)C=3C=NN(C)C3)C(=O)O,Z871787534,281.31,281.31,3.429,-3.298,1,4,68.01,2,https://real.enamine.net/public-enum-files/Z871787534
CC=1C=CC(=CC1)NC=2N=C(NCCO)C=3C=CC=CC3N2,Z57346765,294.352,294.352,4.409,-5.02,3,5,70.07,5,https://real.enamine.net/public-enum-files/Z57346765
