Rank	Ligand	SMILES	VinaAffinity	CNNscore	CNNaffinity
1	Z70961024	O=C(NC1=NC(=CS1)C=2C=CC=3NC(=O)CCC3C2)C4CC=5C=CC=CC5C(=O)O4	-12.37049	0.63421	7.02162
2	Z1625925032	O=C(C=1C=CC=C(F)C1F)N2CCCC(C2)S(=O)(=O)N3CCC4=CC=CC=C43	-12.34775	0.43218	6.51527
3	Z1723428199	CN1C(=O)NC=2N=CC(=CC21)C=3C=CC=C(C3)C(=O)NCC4CN(CC=5C=CC=CC5)CCO4	-12.03663	0.70771	7.20425
4	Z57905645	CC=1C=CC(=CC1)C(=O)N(CC=2C=CC=C3C=CC=CC23)C4CCS(=O)(=O)C4	-11.84454	0.5396	7.43454
5	Z1537788191	CC1=NC(=NO1)C=2C=CC=C(C2)C(=O)NC3CCCN(CC=4C=CC=CC4)C3=O	-11.82618	0.68847	7.20632
6	Z167817578	NC=1N=C(CSC2=NN=C(O2)C=3C=CC=4OCOC4C3)N=C5SC=6CCCCC6C15	-11.76276	0.67425	7.14347
7	Z32329721	O=C(CCC1=NC=2C=C(Cl)C=CC2N(CC=3C=CC=CC3)C1=O)N4CCC=5C=CC=CC54	-11.5847	0.38114	7.4589
8	Z1972520657	COC=1C=CC=2CC(C=3C=CC=CC3)N(CC2C1)C(=O)C4=CN=CN=C4N	-11.57684	0.74427	7.4096
9	Z32665230	CC1CCN(CC1)C(=O)CC=2C=CC(=CC2)NS(=O)(=O)C=3C=CC4=CC=CC=C4C3	-11.57255	0.39864	6.69206
10	Z28689543	CN(C(=O)C1=CC=CC=C1OC=2C=CC=CC2)C=3C(=O)NC(=O)N(CC=4C=CC=CC4)C3N	-11.56356	0.6015	7.48496
11	Z1833667604	O=C(NC=1C=CC=C2CN(CC(F)(F)F)CC12)N[C@@H]3C=4C=CC=CC4C[C@@H]3O	-11.55204	0.44341	6.46826
12	Z1734678916	CC=1C=C(C)C=2N=CC(C(=O)NC3CCN(C=4C=NN(C)C4)C3=O)=C(O)C2C1	-11.53318	0.70851	6.87726
