Rank	Ligand	SMILES	Binding_Affinity(kcal/mol)
1	Z242978966	CC=1C=CC=C(C1)NS(=O)(=O)C=2C=CC(Cl)=C(C2)C(=O)NC3=NN=C(S3)C4CC4	     -8.52
2	Z4602250794	CC=1C=CC=CC1NS(=O)(=O)C=2C=CC(C)=C(C2)C(=O)NC3=CN=C4NC=CC4=C3	     -8.50
3	Z908975172	CN1C(=NC=2C=CC=CC21)C3CCCN3C(=O)C=4C=CC(=CC4)S(=O)(=O)NC5CC5	     -8.40
4	Z229737588	O=C(CCC1CC=2C=CC=CC2NC1=O)NC3=NC(=CS3)C=4C=CC=5OCCC5C4	     -8.27
5	Z146940262	CC(NS(=O)(=O)C=1C=CC=C(C1)C(=O)N(C)CC=2C=NN(C2)CC=3C=CC=CC3)C=4C=CC=CC4	     -8.16
6	Z88609716	CC(=O)NCCCC=1C=CC(=CC1)C2=CSC(=N2)NC(=O)CC=3C(C)=NOC3C	     -8.15
7	Z2496599416	CC1=C(C(=O)NC=2C=CC=C(C2)C3=NC(=NN3)C4CC4)C(C)N5N=NN=C5N1C	     -8.15
8	Z151884320	CC1=CC(C)=CC(=C1)CN2C(=O)NC(C)(C2=O)C=3C=CC=C(C3)N4C=NN=N4	     -8.10
9	Z5211394606	O=C(O)C(F)(F)F.CC1(NC(=O)NC1=O)C=2C=CC=C(C2)C3=NOC(CCC4CCCNC4)=N3	     -8.09
10	Z408831864	CC(C)C1=CC=C2C=C(NC2=C1)C(=O)NCCC(=O)NC3CCS(=O)(=O)C3	     -8.05
11	Z217633954	C#CCNS(=O)(=O)C=1C=CC(=CC1)C(=O)N2CCCC2C3=NC4=CC=CC=C4N3	     -8.04
12	Z1230899844	CC1=NOC(C)=C1C(C)C(=O)NC=2C=C(NN2)C3CC4CCC3C4	     -8.03
13	Z1684580887	CC1(NC(=O)NC1=O)C=2C=CC=C(C2)C3=NOC(=N3)C4CCC5=C(Cl)C=CC=C54	     -8.01
14	Z106767826	CC(NC(=O)CN1N=NC(=N1)C=2C=CC(=CC2)C(N)=O)C3=CC=CC=4C=CC=CC34	     -8.01
15	Z223599722	O=C(CCC1=NC=C(O1)C=2C=CC=CC2Cl)NC=3C=CC(=CC3)N4C=NN=N4	     -7.96
16	Z2146719310	CC=1C=CC(=CC1S(=O)(=O)N2CCCCC2)NCC3=CN(N=N3)C(C)C	     -7.94
17	Z46274362	O=S(=O)(C=1C=CC=C(Cl)C1)N2CCN(CC3=NN=C(O3)C=4C=CC(F)=CC4)CC2	     -7.92
18	Z28854148	O=C(NOCC=1C=CC=CC1)C=2C=CC(Cl)=C(C2)S(=O)(=O)N3CCC=4C=CC=CC43	     -7.89
19	Z1838753150	O=C1NC=2C=CC(=C3C=CC=C1C23)S(=O)(=O)N4CC5(CCC5)C6=CC=CC=C64	     -7.86
20	Z3499566890	CC1=NNC=2CCC(CC12)C3=NC(=NO3)C=4C=CC=C(C4)CN5C=CN=C5	     -7.86
21	Z1740479460	CC1CN(CC=2C=CC=C(C2)CNC(=O)CC3=NNC=4CCCCC34)CCO1	     -7.84
22	Z1756089645	CN1C=C(C(=O)NC=2C=CC=3NC(=NC3C2)C4CCCCC4)C(=N1)C5CCOC5	     -7.83
23	Z32060457	[O-][N+](=O)C=1C=CC=C(C1)C(=O)NC=2C=C(C=CC2Cl)S(=O)(=O)NC=3C=CC=C(Cl)C3	     -7.80
24	Z395889792	O=C(CN1C=2C=CC=C3C=CC=C(C23)S1(=O)=O)NC4=CC=CC(=C4)C5=CC=NN5	     -7.80
25	Z95871346	O=C(C=1C=CC=C(C1)CN2C(=O)C=3C=CC=CC3C2=O)N4CCC(CC4)C5=NN=C6C=CC=CN56	     -7.79
26	Z1170012030	CCC=1C=CC(=CC1S(=O)(=O)N2CCOCC2)C3=NC(=NO3)C4CCCC4	     -7.76
27	Z425005474	NC(=O)C=1C=CN(N1)C=2C=CC=C(C2)NS(=O)(=O)C=3C=CC(=CC3)C4CCCCC4	     -7.76
28	Z225058138	CC(C)C1=NOC=2N=CC(=CC12)C(=O)NC(C)C=3C=CC=C(C3)S(N)(=O)=O	     -7.75
29	Z3576215092	C[C@@H]1CC=2C(=NNC2[C@H](C)O1)C(=O)N3CCC(CC4=NC(=NO4)C5CCC5)CC3 |&1:1,8,r|	     -7.75
30	Z31807864	O=C(NC=1C=CC=C(C1)S(=O)(=O)NC=2C=CC(Cl)=CC2)C3=NNC=4C=CC=CC34	     -7.74
31	Z1172514450	CC=1C=CC(=CC1)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34	     -7.72
32	Z735542144	CS(=O)(=O)N1CCCC=2C=C(C=CC21)C3=CSC(=N3)C=4C=CC=C(C4)C(=O)O	     -7.70
33	Z70926219	O=C(CC=1C=CC=C2C=CC=CC12)NC3=NC(=CS3)C=4C=CC=5NC(=O)CC5C4	     -7.70
34	Z2762137975	C=1C=CC=2C(CN3C[C@H](C4=NC(=NN4)C5CC5)[C@H](C3)C6CC6)=NNC2C1	     -7.69
35	Z229669328	O=C(NC=1C=CC=C(C1)C2=NN=NN2C3CC3)C4=CC=5CCCCC5S4	     -7.69
36	Z32644785	[O-][N+](=O)C=1C=CC=C(C1)C(=O)NC=2C=C(C=CC2Cl)S(=O)(=O)NC=3C=CC=CC3F	     -7.69
37	Z2193996857	CCC1(NC(=O)N(C1=O)C=2N=NN(CC3=NOC(C)=N3)C2C)C=4C=CC=CC4	     -7.69
38	Z28739794	CC=1NC=2C=CC=CC2C1C3=CSC(=N3)NC(=O)C=4C=CC(=CC4)S(C)(=O)=O	     -7.68
39	Z1757878354	O=C(NC1CC1)C2=NOC(=N2)C3CCCN3CC=4C=CC=C(C4)C=5C=CC=NC5	     -7.67
40	Z1369849002	CC(NC(=O)NC=1C=CC(=CC1)C=2C=CNN2)C3=NC(=NO3)C4CCCC4	     -7.67
41	Z17793161	CC=1C=CC(=CC1[N+]([O-])=O)NC(=O)CN2N=NC(=N2)C=3C=CC(Cl)=CC3	     -7.67
42	Z2834874765	CN(CC1=NN=C(O1)C=2C=CC=C3C=CC=CC23)CC4CCOCC4	     -7.66
43	Z1767701296	O=C(OC=1C=CC=2CCC(=O)NC2C1)C=3NN=C4CCCCC34	     -7.66
44	Z279557754	O=C(C1=CC(=NN1)C=2C=CC(Cl)=CC2)N3CCCC(C3)C4=NN=C5C=CC=CN45	     -7.66
45	Z90307849	O=S(=O)(C=1C=CC(=CC1)C2=NN=C(O2)C=3C=CC(Cl)=CC3)N4CCCC4	     -7.63
46	Z134660972	CC1(NC(=O)N(CC=2C=CC=CC2C#N)C1=O)C=3C=CC=C(C3)N4C=NN=N4	     -7.63
47	Z1307184081	CS(=O)(=O)C1CCC(CC1)NC(=O)N2CCCC(C2)N3CCCCC3=O	     -7.63
48	Z2879222970	CC1CCCC=2C=C(C3=NOC(=N3)C4CC(=O)N(C4)C5CC5)C(=O)NC21	     -7.63
49	Z2446648502	CC=1C=C(C=C(C1C)S(N)(=O)=O)C(=O)NCC(N)C=2C=CC(=CC2)C(C)C	     -7.63
50	Z1888779967	O=S(=O)(NC1(CCCC1)C2=NOC(=N2)C3CC3)C=4C=NC5=CC=CC=C5C4	     -7.62
51	Z2335248704	CC(C)C1N(CC21CCOCC2)C(=O)C=3C=C(NN3)C=4C=CC=CC4	     -7.62
52	Z228274936	[O-][N+](=O)C=1C=C(C=CC1Cl)C(=O)NCC=2C=CC=CC2S(=O)(=O)N3CCCCC3	     -7.62
53	Z2370118283	C1=NC=2C=CC=CC2N1CCC3=NOC(=N3)C4CN(C4)C5CCCCC5	     -7.62
54	Z1833450401	CC1(C)C(=O)NC=2C=CC(=CC21)S(=O)(=O)NC3=CN(CC=4C=CC=CC4)N=N3	     -7.60
55	Z1828743296	CC=1C=CC(=CC1)CC(CO)CNC(=O)NC=2C=C(C=CC2C)N3C=NN=N3	     -7.58
56	Z2970678218	CC1CC2(CC(C2)NC(=O)NCC3=CC=4CCCC4NC3=O)CO1	     -7.57
57	Z1568266685	COC=1C=CC=C(C1)CN(CC=2C=CC=3C=NNC3C2)C4CCC(O)CC4	     -7.57
58	Z2976155759	CN1CCC=2N=CN=C(C2C1)N3CC(C3)C4=NC(=NO4)C=5C=CC=CC5	     -7.57
