Rank	Ligand	SMILES	Binding_Affinity(kcal/mol)
1	Z45688492	CC1=CC(=NO1)NS(=O)(=O)C=2C=CC(=CC2)NS(=O)(=O)C=3C=CC4=CC=CC=C4C3	     -8.56
2	Z1170011522	O=S(=O)(NC1CCCC1)C=2C=CC=C(C2)C3=NC(=NO3)C4CCCC4	     -8.30
3	Z16422847	O=C(CN1N=NC(=N1)C=2C=CC=CC2)NC=3C=CC=C(C3)S(=O)(=O)N4CCCC4	     -8.29
4	Z146330210	CC=1C=CC(=CC1S(=O)(=O)NCC=2C=CC=CC2)C(=O)NC3=CN=C4C(C=NN4C(C)C)=C3	     -8.23
5	Z167642428	CC=1C=C(CN2CCN(CC2)C(=O)C3=CN(CC=4C=CC=CC4)N=C3C5=CC=CS5)ON1	     -8.14
6	Z1518181666	O=C(NCC1CCS(=O)(=O)CC1)NC2C3CC=4C=CC=CC4C23	     -8.11
7	Z154468074	O=C(CSC1=NN=C(NC=2C=CC=C(F)C2)S1)N3CC(=O)NC(=O)C43CCCCC4	     -8.06
8	Z1868677181	CC=1C=CC(=CC1N2C(=O)NC(C)(CC=3C=CC=CC3)C2=O)N4C=NN=N4	     -8.04
9	Z27358516	NC(=O)C1=C(NC(=O)C2=CC=CC(=C2)S(=O)(=O)N3CCCCC3)SC=4CCCCC14	     -8.03
10	Z101105448	[O-][N+](=O)C=1C=CC(=CC1)S(=O)(=O)N2CCN(CC2)C(=O)C=3C=NN(C3)CC=4C=CC=CC4	     -8.02
11	Z1754476912	O=S(=O)(NC[C@H]1CC[C@H](O1)C2=NC(=NO2)C3CC3)C=4C=CC=5OCCC5C4	     -8.02
12	Z29184761	O=C(CC1=NNC(=O)C=2C=CC=CC12)N(CC=3C=CC=CC3)C4=NC=5CCCCC5S4	     -7.98
13	Z1170019234	O=S(=O)(NC1CC1)C=2C=CC=C(C2)C3=NC(=NO3)C4CCCCC4	     -7.97
14	Z27874614	CC=1C=CC(=CC1C)S(=O)(=O)N2CCC(CC2)C(=O)NC3=NC=4CCCCC4S3	     -7.97
15	Z45688544	CC1=CC(=NO1)NS(=O)(=O)C=2C=CC(=CC2)NS(=O)(=O)C=3C=CC(=CC3)C(C)C	     -7.96
16	Z1213675148	CC(C)SC=1N=CC(Cl)=C(N1)C(=O)NC=2C=CC(=CC2)S(=O)(=O)N(C)CC=3C=CC=CC3	     -7.94
17	Z2327691473	O=S(=O)(NC=1C=CC=NC1)C=2C=CC=C(C2)S(=O)(=O)NC3CCCC3	     -7.91
18	Z1836040060	NC(=O)C1CCCN1CC=2C=CC=C(C2)NC(=O)C=3N=NNC3C=4C=CC=CC4	     -7.86
19	Z90725056	O=C(NC=1C=CC(=CC1)S(=O)(=O)N2CCCC2)C=3C=C(C=CN3)N4CCOCC4	     -7.82
20	Z56803003	[O-][N+](=O)C=1C=CC(=CC1)NS(=O)(=O)C=2C=CC=C(C2)C(=O)NC3=NN=C(S3)C4CC4	     -7.81
21	Z28889940	CN(C)S(=O)(=O)C=1C=CC(=CC1)C(=O)NC2=NC(=CS2)C3=CC=C4CCCC4=C3	     -7.80
22	Z979338486	CC=1C=CC=2NC(=NC2C1)C3CCCN(C3)C(=O)C4=CC=CC(=C4)S(C)(=O)=O	     -7.78
23	Z16526510	O=C(CN1N=NC(=N1)C2=CC=CC=C2Cl)NC(=O)NCCC3=CCCCC3	     -7.78
24	Z151703062	CC(SC1=NN=NN1C2CCCCC2)C(=O)NC(=O)NC34CC5CC(CC(C5)C4)C3	     -7.76
25	Z44543541	CC=1C=C2OC(=O)C=C(CN3CCN(CC3)S(=O)(=O)C=4C=CC=CC4)C2=CC1Cl	     -7.76
26	Z29651176	O=C(CCN1C(=O)C=2C=CC=CC2C1=O)NC3=NC(=CS3)C4=CNC=5C=CC=CC45	     -7.75
27	Z595786480	CC=1C=CC=C2NC=C(C3=CCN(CC3)C(=O)NC=4C=CC=C(C4)S(N)(=O)=O)C12	     -7.74
