Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
1	Z1341820887	CC1(NC(=O)NC1=O)C2CCN(CC2)C(=O)NC3=CC=C4C(=O)NC(=O)C4=C3	-11.79	0.980053	8.193686
2	Z3325175485	O=C(C=1ON=C2CCCCC12)N3CC[C@H](C3)NC=4N=CN=C5C(F)=CC=CC45	-11.62	0.979433	8.724236
3	Z2496179879	O=C(CCC=1C=CC(=CC1)NC(=O)C=2C=CC=C3NC(=O)NC23)N4CCCC4	-11.46	0.981272	8.188157
4	Z1479029730	CC1=NC(=NO1)C2(CCCC2)NC(=O)NC=3C=CC(=NN3)C=4C=CC=CC4	-11.39	0.890763	8.050635
5	Z2635726166	O=C([C@@H]1CC(=O)NC(=O)N1)N2CCCC(C2)C3=NNC(=N3)C=4C=CC=CC4	-11.31	0.944819	8.180942
6	Z3798255638	NC1CC2CC1CC2NC(=O)C=3C=CC=C(C3)NC=4N=CC=C(N4)C(F)(F)F	-11.31	0.965571	8.201778
7	Z1920108520	CN1C(=O)NC=2C=CC(=CC21)C(=O)NC=3C=CC=C(C3)N4C(=O)NC(C)(C)C4=O	-11.26	0.957585	7.975361
8	Z4607589435	O=C(NC=1C=C(C=CC1F)C2=NN=NN2)C3=CC=4C(=CC(=O)NC4O3)C(F)(F)F	-11.22	0.825673	8.181553
9	Z1873504771	CC(=O)N1C[C@@H](O)C[C@@H]1C(=O)NC=2C=CC(=NC2)OC3=CC=CC(C)=C3C	-11.17	0.868645	7.961480
10	Z3164909878	CC=1C=CC(=CC1C(=O)OC2CCC(=O)NC2)NC=3N=CC=C(N3)C(F)(F)F	-11.15	0.992054	8.451311
11	Z2442412860	CC1(C)CCC=2N=CN(CC=3C=C(ON3)C=4C=CC=CC4)C(=O)C2C1	-11.13	0.543355	7.734487
12	Z1250698252	CC1=NN=C(O1)C=2C=CC(=CC2)NC(=O)C=3C=CC=C(C3)CN4CCS(=O)(=O)CC4	-11.13	0.909056	7.681391
13	Z1625038932	CC=1N=NC=CC1NC(=O)CN2C(=O)NC3(CC(C)CC(C)(C)C3)C2=O	-11.08	0.904815	7.889045
14	Z1027972766	COC=1C=CC(=CC1N2N=NN=C2C)NC(=O)NCC=3C=CC=C(C3)C(N)=O	-11.08	0.944500	8.067468
15	Z4365037777	NS(=O)(=O)C=1C=CC(F)=C(C1)CNC=2C=CC3=NN=C(C=4C=CN=CC4)N3N2	-11.07	0.986380	8.565723
16	Z2159616586	CC(=O)NC=1C=CC(C)=C(C1)C2=NC(=NO2)C=3C=CC(O)=C(F)C3	-11.05	0.920312	7.720919
17	Z1497483528	O=C(NCC1CCCN(CC2(O)C3C4CC5C6CC(C3C46)C52)C1)C=7C=CC=CC7	-11.03	0.900109	8.086417
18	Z3689332114	COC=1C=CC(=CC1F)C2CCN(C(=O)C3=CC=C4NN=C(C(=O)O)C4=C3)C2C	-11.02	0.906129	8.198452
19	Z1865791867	O=C(NC=1C=CC(=CC1)C2=NC=3C=CC=CC3O2)NC4CNC(=O)C4	-10.99	0.921655	7.455914
20	Z1579705685	COC=1C=CC=CC1NC(=O)C2CCN(CCN3C(=O)OC4=CC=CN=C43)CC2	-10.99	0.686318	7.778593
21	Z2071677375	O=C(NC=1C=CC=C(C1)OC=2C=CC=NN2)C=3C=CN=C(C3)NC(=O)C4CC4	-10.99	0.935666	7.846863
22	Z367127552	CC1=NOC=2N=CC(=CC12)C(=O)NC=3C=CC=C(C3)C4=NN=CN4C	-10.99	0.912419	7.910966
23	Z370737262	CC1=NN(C)C=2NC(=O)C(CCC(=O)NC3=NC=4C=CC=CC4N3)=C(C)C12	-10.97	0.925086	8.267799
24	Z1460677980	CC=1C=CC=CC1NC(=O)C=2C=NC=C(C2)C=3C=CC=4OCCC4C3	-10.96	0.928781	7.832341
25	Z999958444	CC1=NNC(=N1)C=2C=CC(=CC2)NC(=O)C=3C=CC=C(C3)CN4CCS(=O)(=O)CC4	-10.94	0.852234	7.629659
26	Z1444106323	O=C(O)C=1C=CC=C(N1)C(=O)NCC(=O)NC2=CC=CC3=CC=CC=C23	-10.92	0.835252	7.158062
27	Z2408243244	O=C(CN1C(=O)NC2(CCCCC2)C1=O)NC=3C=CC=4C=CNC(=O)C4C3	-10.92	0.915611	7.678060
28	Z1658190751	[O-][N+](=O)C=1C=CC=C2C=C(NC12)C(=O)N3CCC(C3)OC4=CC=CC(F)=C4	-10.92	0.867911	8.022149
29	Z3325175487	O=C(C=1ON=C2CCCCC12)N3CC[C@H](C3)NC=4N=CN=C5C=CC(F)=CC45	-10.90	0.961815	8.700395
30	Z3690564516	CC1=NN(C=C1CNC=2C=CC=3NN=C(C(=O)O)C3C2)C4=CC=CC(F)=C4	-10.90	0.891667	8.131125
31	Z2902688151	CC=1C=NC(F)=CC1C2=NC(=NO2)C=3C=CC=C(C3)OCC=4C=CC=NC4	-10.87	0.928391	8.145271
32	Z1684581602	CC=1C=C(C)C=C(C1)C2(CC2)C3=NC(=NO3)C=4C=CC=C(C4)C5(C)NC(=O)NC5=O	-10.84	0.959480	8.426065
33	Z823403234	CCCNC(=O)C=1C=CC=C(C1)CNCC2=CNN=C2C3=CC4=CC=CC=C4O3	-10.84	0.971592	8.334381
34	Z4365037727	NS(=O)(=O)C=1C=CC=C(C1)CNC=2C=CC3=NN=C(C4=CC=CN=C4)N3N2	-10.83	0.961241	8.179856
