Rank	Ligand	SMILES	Binding_Affinity(kcal/mol)	CNN_affinity	CNN_score
1	Z4500949812	NC=1N=CC=C(N1)C2CCCN(C2)C(=O)C=3C=C(NN3)C=4C=CC5=CC=CC=C5C4	-12.77304	7.0603	0.41163
2	Z356149402	CC1=C(OC=2C1=CC=C3C=CC=CC23)C(=O)NC=4C=CC=C(C4)CN5CCCC5=O	-12.26633	6.94869	0.66852
3	Z1942531317	O=C(C=1C=C(O)C=2C=CC=CC2C1)N3CCCC(C3)C4=NNC(=N4)C5CCCCC5	-12.20049	6.81331	0.39393
4	Z1583989876	CC1=CC=CN2C(=O)C(=CN=C12)C(=O)N3CCCC=4C=C(C=CC43)C=5C=CC=CC5	-12.0825	7.05732	0.44531
5	Z1614271401	O=C(C1=CNN=C1C=2C=CC=NC2)N3CCCC(C3)C4=NNC(=N4)C=5C=CC=CC5	-12.04786	7.2211	0.4334
6	Z4500949752	O=C(C=1C=C(NN1)C=2C=CC=3C=CC=CC3C2)N4CCC(C4)C5=CC=CC=N5	-12.0314	6.69522	0.47359
7	Z1407760331	CC1=C(NC(=O)C=2C=NC=C(C2)C=3C=CC(C)=CC3)C(=O)N(C=4C=CC=CC4)N1C	-12.01461	7.19098	0.52474
8	Z131405656	CC1=C(OC=2C(F)=CC=CC12)C(=O)N3CCC(CC3)N4C(=O)NC5=CC=CC=C54	-11.99128	6.63308	0.45147
9	Z66365586	CC=1C=CC(=CC1S(=O)(=O)N2CCCCC2)C(=O)NC=3C=CC4=CC=CC=C4N3	-11.95476	7.14989	0.56659
10	Z2390160127	CC1=C(N=NN1C=2C=CC(=CC2)C=3C=CC=CC3)C(=O)N4C5CCC4CNCC5	-11.95267	6.99674	0.40558
11	Z920840756	CC=1C=CC(NC(=O)C=2C=CC=3C(=O)OC(CC3C2)C=4C=CC=CC4)=C5NN=CC15	-11.94977	6.9176	0.58424
12	Z30575589	O=C(NC=1C=CC=C(C1)C(F)(F)F)C=2C=CC=C(C2)NC(=O)C=3C=CC(=O)N(CC=4C=CC=CC4)N3	-11.93266	7.65161	0.50808
13	Z1940752684	CN1C(=O)C=CC=2C=CC(=CC21)NC(=O)NC3CCC(C3)C=4C=CC(F)=CC4	-11.93002	6.81696	0.60612
14	Z1583881309	CC1=CC=CN2C(=O)C(=CN=C12)C(=O)N3CCC=4C=C(C=CC43)C=5C=CC=C(F)C5	-11.9274	7.01115	0.44555
15	Z1183123858	O=C(NC=1C=CC2=C(C1)CC=3C=CC=CC32)NC4CCN(CC(F)(F)F)C4=O	-11.8968	6.52678	0.52196
16	Z2114098914	O=C(NC=1C=CC=C(N1)C=2C=CC=3C=CC=CC3C2)C4CCN(CC(F)F)CC4	-11.8896	7.30266	0.79652
17	Z30482759	O=C(NC=1C=CC=CC1N2CCOCC2)C=3C=CC=C(C3)CN4C(=O)C=5C=CC=CC5C4=O	-11.8886	6.24971	0.46098
18	Z297683002	CC=1C=CC(C2=NC(=CO2)CN3C(=O)NC4(CCOC=5C=CC=CC54)C3=O)=C(C)C1	-11.88758	6.0567	0.41937
19	Z856138514	CC1=NC(=NO1)C=2C=CC=C(C2)NC(=O)C3=NN(C4=CC=CC=C4C)C=5CCCC35	-11.86697	7.38351	0.63868
20	Z26478782	CC=1C=CC(=CC1S(=O)(=O)N2CCCCC2)NC(=O)C3=CC(=O)C=4C=CC=CC4O3	-11.86496	7.11723	0.6112
21	Z1342060266	CC1C=2C=CC=CC2CCN1C(=O)NC=3C=CC(=CC3)OC=4C=CC=CC4C(N)=O	-11.84758	7.19761	0.65575
22	Z2313276927	CC=1C=CC(=CC1N2C(=O)CNC2=O)NC(=O)N3CCCC4(CCCCC4)CC3	-11.81014	6.62729	0.37399
23	Z2361631804	O=C(NC=1C=CC=C2C(=O)NCCC12)NC3CC4(CCCC4)OC=5C=CC=CC53	-11.79141	6.65373	0.3748
24	Z167264310	O=C(NCC=1C=CC=CC1)C2CCN(CC2)C(=O)C3(CCCC3)C=4C=CC=5OCCOC5C4	-11.78118	7.01907	0.36806
25	Z146500596	O=C(NC=1C=CC=CC1O)C2CCN(CC2)C(=O)C3=CC=CC4=CC=CC=C34	-11.77234	6.63083	0.41293
26	Z2361104735	CC1=CC=2C=C(C=CC2N(C)C1=O)NC(=O)N3CCCC4=C(C=NN4C)C3	-11.77226	6.65715	0.52568
27	Z748636386	O=C(NC=1C=C(C=CC1O)N2CCCS2(=O)=O)C=3C=CC(=CC3)C=4C=CC=CC4	-11.76753	6.79058	0.48102
28	Z14230767	O=C(CN1C(=O)NC2(CCC=3C=CC=CC3C2)C1=O)N4CCC5=CC=CC=C54	-11.76181	7.04858	0.49764
29	Z4635112629	CC=1C=CC(C2=NC(=CS2)C(=O)NC=3C=CC=4NC(=O)C(C)=CC4C3)=C(C)C1	-11.75129	6.7814	0.48047
30	Z195777552	CC=1C=CC(=CC1)C=2N=NN(CC=3N=C(N)C4=C(N3)SC=5CCCCC54)N2	-11.74581	7.20866	0.64296
31	Z13596529	O=C(CN1C(=O)NC2(CCCC=3C=CC=CC32)C1=O)N4CC(=O)NC=5C=CC=CC54	-11.72337	6.234	0.39108
32	Z99394958	O=C(NC=1C=CC=C2C=CC=NC12)C3=CC(=C(S3)N4CCOCC4)C=5C=CC=CC5	-11.71499	7.1464	0.50948
33	Z732629050	O=C1NC(CC=2C=CC=3OCCC3C2)=NC=4C=C(SC14)C=5C=CC(F)=CC5	-11.71478	7.36202	0.66302
34	Z749522760	CN1CCC2(CC1)CC(NC(=O)C=3C=CC=C4C=NNC34)C=5C=CC=CC5O2	-11.68746	7.44623	0.51025
35	Z107207944	CC1(NC(=O)N(CC=2C=C(ON2)C=3C=CC=CC3)C1=O)C4=CC=C5CCCC5=C4	-11.68264	6.96497	0.51783
36	Z2183240671	O=C(NCC1C2CC=3C=CC=CC3C12)NC4COC=5C(F)=CC(F)=CC5C4	-11.66143	6.52895	0.55467
37	Z214587338	CC1(NC(=O)N(CC2=CC(=O)N3C=CC=CC3=N2)C1=O)C4=CC=CC=5C=CC=CC45	-11.66069	6.81839	0.51115
38	Z1940278846	CC=1C=CC(=C(C)C1)C2CCN(C2)C(=O)NC=3C=CC=C(C3)N4CCNC4=O	-11.63752	7.13354	0.72839
39	Z62710366	CN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC=C(C2)NC(=O)C3=CC=CC=4C=CC=NC34	-11.61969	7.38227	0.50496
40	Z1886706855	O=C(NC1CCC=2C=C(O)C=CC2C1)C=3C=C(N=C4C=CC=CC34)C5CC5	-11.59339	6.87783	0.47804
41	Z1931627754	O=C(NC=1C=C(ON1)C=2C=CC=C(F)C2)N3CCCC(C3)C4=NN=CN4C5CC5	-11.58161	7.00748	0.75052
42	Z230490992	O=C(NC1CCN(CC1)C(=O)NC=2C=CC=CC2)C=3C=C(NN3)C=4C=CC=CC4	-11.58066	6.72329	0.49233
43	Z1472866229	CC=1C=C(C)N(N1)C=2C=CC(=CN2)C(=O)NC3C4CCC5=CC=CC=C5C34	-11.5781	6.79764	0.54775
44	Z1339166723	O=C(NC=1C=CC(=CC1)C=2C=CC=CC2)NC3CCN(CC3)C4CCCC4	-11.56527	6.4373	0.36863
45	Z30159217	CC1=NN(C=2C=CC=C(Cl)C2)C=3SC(=CC13)C(=O)NC4=NC=5CCN(C)CC5S4	-11.56266	7.33299	0.62231
46	Z112166022	CC(SC1=NN=C(C=2C=CC=CC2F)N1CC=3C=CC=CC3)C(=O)N4CC(=O)NC=5C=CC=CC54	-11.55702	7.34021	0.31797
47	Z2709329358	CC=1C=C(N=NC1C)NC(=O)N2CCCC(C2)C3=CC=C(F)C(F)=C3	-11.55583	6.68807	0.55019
48	Z3299567217	CC=1C=CC(C(=O)N[C@H]2C[C@H]3CC[C@@H]2N3C(=O)C4=CC=CC=5NC=CC45)=C(F)C1 |&1:8,10,13,r|	-11.54379	6.85313	0.36445
49	Z1657466508	CC(C)N1N=NN=C1C=2C=CC=CC2NC(=O)N[C@@H]3C=4C=CC=CC4C[C@@H]3O	-11.54132	7.02364	0.62081
50	Z229296876	CC=1SC=2N=C(N=C(N)C2C1C)C=3C=CC(=CC3)C(=O)NC=4N=CC=CC4O	-11.54052	7.18422	0.71089
51	Z126938986	CC1=C(OC=2C=CC=CC12)C(=O)N3CCC(CC3)N4C(=O)NC=5C=CC=CC54	-11.53138	6.5363	0.4954
52	Z370442374	O=C(NC=1C=CC=2OCC(=O)NC2C1)C=3N=C(C=4C=CC=CC4)N5CCCCCC35	-11.51345	7.10926	0.47465
53	Z1865268774	O=C(NC1CC=2C=CC=C(O)C2C1)N3CCCC3C4=NC(=NN4)C=5C=CC=CC5	-11.51072	6.74972	0.50193
54	Z109956278	O=C(NC1=NC=2CCCC2S1)C3CCN(CC3)S(=O)(=O)C=4C=CC=5CCCCC5C4	-11.46181	6.76492	0.38246
55	Z397468500	CC1=NN=NN1C=2C=CC=C(C2)NC(=O)C3=CC=4C(=CC(=O)NC4O3)C(F)(F)F	-11.46028	6.99422	0.69196
56	Z225101482	CC(C1=NC=2C=CC=CC2C(=O)N1)N3CCC(CC3)C4=CNC5=CC=CC=C45	-11.46025	7.20599	0.53825
57	Z32130737	CC=1C=CC(=CC1NC(=O)C=2C=CC=C(C2)[N+]([O-])=O)S(=O)(=O)NC=3C=CC(Cl)=CC3	-11.45341	7.34123	0.63486
58	Z110098176	CC1=CC=2OC=C(CC(=O)NC=3C=CC=4OC(C)C(=O)NC4C3)C2C=C1C(C)C	-11.43858	6.73328	0.57251
59	Z73488918	O=C1CCC=2C=C(C=CC2N1)C3=CSC(CC4=NN=C5CCCCCN45)=N3	-11.43835	7.0131	0.67887
60	Z1473234696	O=C(NC1C2CCC=3C=CC=CC3C12)NC4COC5=CC=CC=C5C4	-11.4346	5.6772	0.4148
61	Z651864830	CC=1C=CC=CC1C(=O)NCC(=O)N2CC=C(CC2)C3=CNC4=CC(F)=CC=C34	-11.43333	6.51275	0.37564
62	Z195097002	COC=1C=C(C=CC1OCC=2C=CC=CC2)CNC(=O)CN3C(=O)NC(=O)C4=CC=CC=C43	-11.43156	7.13353	0.58271
63	Z14244311	CC1CCCCC21NC(=O)N(CC(=O)NC=3C=CC(=CC3)OCC=4C=CC=CC4)C2=O	-11.42992	6.73903	0.48708
64	Z1365823163	O=C(NC1CC1)C=2C=CC=C(C2)S(=O)(=O)N3CCC=4C=C(OC4C3)C=5C=CC=CC5	-11.4288	6.55555	0.59352
65	Z1865949889	O=C(NC=1C=CC(=CC1)CC2CC(=O)NC2=O)N3CCC(CC3)C=4C=CN=CC4	-11.42304	6.81892	0.6512
66	Z2362206898	CN(CC(=O)O)C1CCCN(CC1)C(=O)NC=2C=CC(=CC2)C=3C=CC=CC3	-11.41705	6.18618	0.45861
67	Z1005254702	O=C(NCCC=1C=CC=NC1)C2CCCN2C(=O)C=3C=CC=4C=CC=CC4C3O	-11.41673	6.99552	0.56998
68	Z1839422045	CN1C(=NC=2C=CC=CC21)C=3C=CC(=CC3)NC(=O)[C@H]4CCO[C@@H]4C=5C=CC=NC5	-11.41479	7.16875	0.59168
69	Z220595036	O=C(NCC=1N=CC=C2C=CC=CC12)C=3C=CC(Cl)=C(C3)S(=O)(=O)NCC=4C=CC=CC4	-11.4088	7.48373	0.46444
70	Z1144026535	CC1CCCN(C1)S(=O)(=O)C=2C=C(C(=O)NC3CCC4=CC=CC=C4C3)N(C)C2	-11.40214	6.91044	0.5552
71	Z217642108	CC(=O)NC=1C=CC=C(C1)C(=O)NC=2C=CC(=CC2)C3=NN=C4CCCCCCN34	-11.38482	7.02769	0.54933
72	Z1213675811	COC=1C=CC=2N=C(NC(=O)C3=CC(=O)C=4C=C(C)C=C(C)C4O3)SC2C1	-11.37955	6.33137	0.48131
73	Z19040945	CC1=CC(NC(=O)CN2N=NC(=N2)C=3C=CC=C(C3)C(F)(F)F)=C(C=C1C)[N+]([O-])=O	-11.37905	7.58143	0.71548
74	Z595890930	O=C(C=1C=CN(N1)C=2C=CC=CC2)N3CCC(CC3)C4=CNC=5N=CC=CC45	-11.37764	6.84301	0.4654
75	Z3041158656	CC(=O)N1CC2(CCN(CC2)C(=O)C=3C=CC=4COCC4C3)[C@H]5COC[C@H]51	-11.35778	6.19915	0.23978
76	Z91102519	CC=1N=C2C=CC(=CC2=NC1C)C(=O)N3CC=4C=CC=CC4CC3C(N)=O	-11.35195	7.01278	0.39212
77	Z454107690	CC1=C(NC(=O)C=2NC=3C=CC=CC3C2Cl)C(=O)N(C=4C=CC=CC4)N1C	-11.34891	6.89872	0.45242
78	Z1529112448	CC=1C(F)=CC=C2SC(=NC12)NC(=O)C=3C=CC4=C(C3)CCC(=O)N4C	-11.34249	6.65201	0.56298
79	Z4475787859	CC1(C)CCC=2C=CC=CC2C(C1)NC(=O)NCC3=CNC(=O)C=4C=CC=CC34	-11.33969	7.0141	0.43383
80	Z65762802	O=C(CN1C(=O)NC2(CCCC2)C1=O)N3C=4C=CC=CC4OCC3C=5C=CC=CC5	-11.3392	6.73714	0.37509
81	Z1223070784	O=C1NCCC=2C=CC(=CC12)NCC3=NC(=NO3)C=4C=CC=5OCOC5C4	-11.33422	6.55167	0.65954
82	Z109733942	O=C(NC=1C=CC=CC1N2CCCC2=O)C3=CC=C(O3)C4=NC5=CC=CC=C5S4	-11.32416	6.94862	0.74461
83	Z106187330	O=C1NC(CN2CCCC(C2)C3=NC=4C=CC=CC4S3)=NC=5C=CC(Cl)=CC15	-11.32292	7.54406	0.84423
84	Z1444580165	O=C(O)C1(CCC=2C=CC=CC21)NC(=O)C=3C=CC=C(C3)N4CCCC4=O	-11.32285	6.96507	0.55757
85	Z730644392	CC=1C=CC(O)=C(C1)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC=4CCCCC4S3	-11.31214	6.38037	0.46433
86	Z741455970	CN1CCC2(CC1)CC(NC(=O)C=3C=NC=C4C=CC=CC34)C5=CC=CC=C5O2	-11.30986	7.13151	0.38654
87	Z134712806	CC=1C=CC(=CC1)NC(=O)CN2C(=O)NC(C)(C2=O)C3=CC=C(F)C(F)=C3	-11.30775	6.81676	0.4305
88	Z30529753	COC=1C=CC(=CC1)NS(=O)(=O)C=2C=C(C=CC2C)NC(=O)C=3C=CC(C)=CC3	-11.30708	7.10324	0.56419
