Rank	Ligand	SMILES	CNN_affinity	CNN_score
1	Z95983581	COC=1C=CC(=CC1OC)C2=NN(C=C2C(=O)NC3=CC=CC(=C3)N4CCCC4=O)CC=5C=CC=CC5	8.06888	0.68434
2	Z152884690	CC1=NN=C(SCC(=O)NC2=C(C#N)C(C)=C(C)N2CC=3C=CC=CC3)N1C=4C=CC=CC4	7.86964	0.76222
3	Z29466243	COC=1C=CC(=CC1)C2=NN=C(O2)SCC(=O)NC3=NC(=CS3)C=4C=CC=CN4	7.85301	0.78857
4	Z111780662	CC(C)N(C(=O)CN1C(=NC=2C=CC=CC21)C3CC(=O)N(CC=4C=CC=CC4)C3)C=5C=CC=CC5	7.80697	0.47572
5	Z24543419	CC(SC1=NN=C(C2CC2)N1CC=3C=CC=CC3)C(=O)N4CCC=5C=CC=CC5C4	7.78555	0.5948
6	Z107041434	O=C1NC(CC=2C=CC=CC2)(C(=O)N1CC=3N=NSC3Cl)C=4C=CC=CC4	7.7745	0.83681
7	Z29584785	CC=1C=CC(C)=C(C1)C2=CSC(=N2)NC(=O)CCC3=NC4=CC=CC=C4C(=O)N3	7.74523	0.72488
8	Z1528951773	C1=CC(CN(CC=2C=CC=CC2)C=3N=C(N=C4CCCC34)C=5C=CC=NC5)=NN1	7.69473	0.63951
9	Z52186510	O=C(CC1=CNC=2C=CC=CC12)N(CC3=CC=CS3)C=4C=CC=5OCCOC5C4	7.69354	0.66602
10	Z29571782	NC1=C(C(=O)NC(=O)N1CC=2C=CC=CC2)N(CCC3=CCCCC3)C(=O)C=4C=CC=CC4F	7.68725	0.45136
11	Z31233893	CC=1SC=2N=C(N=C(NCCC=3C=CC(=CC3)S(N)(=O)=O)C2C1C)C=4C=CC=NC4	7.68286	0.84112
12	Z237622982	O=C(CCC1CC=2C=CC=CC2NC1=O)N(CC=3C=CC=CC3)C4=NC=5CCCCC5S4	7.67734	0.48792
13	Z162294338	COC=1C=CC(=CC1)CN(CC2=NN3C(=O)C=C(C)N=C3S2)C(C)CC4=CC=CS4	7.66684	0.47293
14	Z64566750	O=S(=O)(NCC1=CC=CO1)C=2C=CC=C(C2)NC=3N=CN=C4SC=5CCCC5C34	7.66151	0.84222
15	Z238875692	CC(CSC=1N=CC=CN1)CN2C(=NC3=C2C(=O)NC(=O)N3C)N4CCN(C)CC4	7.66094	0.73997
16	Z226090334	CC=1SC=2N=C(NC(=O)C2C1C=3C=CC=CC3)SC(C(N)=O)C=4C=CC=CC4	7.65406	0.63032
17	Z51995614	CC1=CC(C)=NN1CCCNC(=O)C2=CN(CC=3C=CC=CC3)N=C2C=4C=CC=CC4	7.65332	0.41537
18	Z87584118	CC1=CC(C)=NC=2SC=3C(=O)N(C=NC3C12)CC=4C=CC=C(C4)S(=O)(=O)N(C)C	7.65267	0.80085
19	Z30575589	O=C(NC=1C=CC=C(C1)C(F)(F)F)C=2C=CC=C(C2)NC(=O)C=3C=CC(=O)N(CC=4C=CC=CC4)N3	7.65161	0.50808
20	Z50143572	CC(C)CN1C(=NC2=C1C(=O)NC(=O)N2CC(C)C)C3=CC=C4OCCOC4=C3	7.64716	0.86243
21	Z382846632	COC=1C=CC=CC1N2CCN(CC2)C(=O)CCC3=NC(=NO3)C=4C=CC=CN4	7.63722	0.6757
22	Z146329424	CC(C)N1N=CC=2C=C(C=NC21)NC(=O)C=3C=C(C(Cl)=CC3Cl)S(=O)(=O)NC4CC4	7.63426	0.68686
23	Z46486672	CC(C1=NC=2C=CC=CC2C(=O)N1)N3CCCC(C3)C4=NC=5C=CC=CC5S4	7.63398	0.86957
24	Z92543638	O=C1C=2C=CC=CC2N=NN1CSC3=NN=C(N4CCCC4)N3C=5C=CC=C(Cl)C5	7.63142	0.56574
25	Z228304712	CC=1C=CC=C(C1)C(=O)NC(CC2=NC=3C=CC=CC3N2C)C=4C=CC=CC4	7.61825	0.61614
26	Z29467819	N#CC=1C=CC=CC1SC=2C=CC=CC2C(=O)NC3=NC(=CS3)C=4C=CC=CN4	7.60553	0.54504
27	Z238917518	CC=1C=CC=C(C1)CN2C(=NC3=C2C(=O)NC(=O)N3C)N4CCC=5C=CC=CC5C4	7.6048	0.57866
28	Z238920884	CC=1C=CN=C(N1)SCCN2C(=NC3=C2C(=O)NC(=O)N3C)N4CCN(CC=5C=CC=CC5)CC4	7.60116	0.70813
29	Z89071472	COC1=CC=2N=C(CN(CC3=CC=CO3)CC4=CC=CS4)NC(=O)C2C=C1OC	7.58441	0.90956
30	Z1480933932	COCC=1C=CC=C(C1)CN2C(=O)NC(CC=3C=CC=CC3)(C2=O)C=4C=CC=CC4	7.58415	0.54329
31	Z19040945	CC1=CC(NC(=O)CN2N=NC(=N2)C=3C=CC=C(C3)C(F)(F)F)=C(C=C1C)[N+]([O-])=O	7.58143	0.71548
32	Z972596992	CC=1NN=CC1C(=O)N2CCN(CC2)C3=C(C#N)C=NC4=CC=CC=C34	7.57596	0.81758
33	Z46357098	O=C1C=C(CN2CCCC2C3=NC=4C=CC=CC4S3)N=C5C=CC(Br)=CN15	7.57274	0.5633
