Rank	LigandID	SMILES	AutoDockAffinity(kcal/mol)	GNINAaffinity(kcal/mol)	CNNscore
1	Z1743782626	COCC=1C=CC=C(C1)CC(=O)N2CC(=O)NC3=C(F)C=CC=C32	-6.200000	6.445260	0.974080
2	Z31695416	COC=1C=CC(=CC1)NC(=O)C2=NNC=3C=CC=CC23	-4.740000	6.140510	0.972790
3	Z229943362	O=C(NCC=1C=NN(C1)C=2C=CC=CC2)C3=NNC4=CC=CC=C34	-6.330000	6.597740	0.970500
4	Z223877894	COC(=O)C=1C=CC(=CC1)NC(=O)C=2C(=O)NC(C)=CC2C	-4.980000	6.134090	0.965850
5	Z1892116666	CC1=NNC=2N=CC(=CC12)NC(=O)C=3C(C)=CC=CC3[N+]([O-])=O	-5.440000	6.514250	0.957840
6	Z28797461	CC(C)C=1C=CC=C(C1)NC(=O)C=2C=CC(=O)NN2	-5.490000	5.763390	0.956830
7	Z1928107054	CC=1C=CC(=CC1S(=O)(=O)N2CCCCC2)C(=O)N3CCCC4=NNC=C43	-6.970000	7.581820	0.956020
8	Z3051007783	CC1=NC(=CS1)[C@H]2CCCN2C(=O)C=3NN=C(C3C)C(F)(F)F	-5.300000	7.326180	0.954910
9	Z2285254389	CC1CN(CC(=O)N1)C(=O)C2(CC=3C=CC(Cl)=CC3)CC2	-5.580000	6.283360	0.951340
10	Z2379493555	CC1=CNC=C1C(=O)N2C3CCC2C(C3)C(=O)OC(C)(C)C	-5.170000	6.462310	0.947630
11	Z2967510282	O=C1CN(CCN1)C2=NN=C(CC=3C=CC=CC3)O2	-5.630000	5.382950	0.941430
12	Z827576834	O=C(C=1C=CN(N1)C=2C=CC=C(F)C2)N3CC(=O)NC=4C=CC=CC43	-5.930000	7.007040	0.940000
13	Z343519954	COC=1C=C(F)C=CC1NC(=O)C=2C=CC=3C=CC=CC3N2	-4.750000	6.529890	0.939250
14	Z2683064275	CC1=NC(=NN1)C2=CC(=CC(=C2)C(F)(F)F)NC(=O)NC(C)CO	-5.330000	6.393640	0.938350
15	Z4896566758	CC=1C=CC=CC1NC(=O)C=2C=C(C=3C=CC=CC3)N4C=NC(C(N)=O)=C4N2	-5.650000	7.228750	0.936900
16	Z2165446098	NC(=O)CC1CCN(CC2=CC=C(O2)C3=NC=4C=CC=CC4S3)C1	-6.190000	6.412560	0.935970
17	Z746172746	CS(=O)(=O)NC=1C=CC=C(C1)NC(=O)C2=NOC=3CCCCC23	-6.750000	6.987310	0.935580
18	Z52037271	CN(C(=O)CN1C=CC=CC1=O)C=2C=CC=CC2	-4.690000	5.920650	0.933960
19	Z25777931	NC(=O)C=1C=CC=CC1OCC2=CN3C=C(Cl)C=CC3=N2	-5.020000	7.014020	0.933850
20	Z1444708677	O=C(O)C(NC(=O)C1=CC=C(COC=2C=CC(F)=CC2)O1)C3CC3	-4.990000	5.448930	0.932120
21	Z768737126	CC(C)NC(=O)NC=1C=CC=CC1NC(=O)C2=NNC=3C=CC(=CC23)[N+]([O-])=O	-6.640000	7.255200	0.931370
22	Z2732699433	C=1C=CC=2C(CNC3=NC(=NS3)C4CCOCC4)=NSC2C1	-6.270000	6.737340	0.930600
23	Z57379488	CCC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC=CN2	-5.790000	6.025630	0.929160
24	Z2966016752	CC1(COCCN1C(=O)C=2C=CC=C(C2)OC=3C=NC=CN3)C4CC4	-6.160000	6.755290	0.929130
25	Z46444044	CC(NCC1=NN=C(O1)C=2C=CC(Cl)=CC2)C=3C=CC=CC3Cl	-7.140000	6.723850	0.928660
26	Z1753318704	CC1=NN(C)C=C1[C@H]2OCC[C@@H]2NC(=O)CC=3C=CC=4OCOC4C3	-4.950000	6.809150	0.927000
27	Z4767539008	Cl.CC=1C=C(NC=2C=CN=CC2)N3N=CC(C=4C=CC=CC4)=C3N1	-5.630000	6.755970	0.926870
28	Z4176777686	CC=1C=CC(=CC1C)CCCC(=O)NC2CCC(=O)NC2=O	-5.590000	6.252460	0.926570
