Rank  Ligand               SMILES                                                                           Binding Affinity (kcal/mol) CNNscore   CNNaffinity
1     Z2011577420          NS(=O)(=O)C=1C=CC(=CC1)C2=NOC(=N2)[C@]34CCC[C@@H]4CN(CC=5C=CC=CC5)C3             -8.70      0.00       2.56      
2     Z29672623            CC1=NN=C(NC(=O)C=2C=CC=C(C2)S(=O)(=O)N(CC=3C=CC=CC3)C=4C=CC=CC4Cl)S1             -8.54      0.05       4.54      
3     Z27741978            CC=1C=C(N=C(C)N1)NS(=O)(=O)C=2C=CC(=CC2)NC(=O)CCCN3C(=O)C=4C=CC=CC4C3=O          -8.29      0.00       2.17      
4     Z1212172778          O=C(NCC=1C=CC=C(C1)C2=NN=CN2)C=3C=CC=C(C3)CN4CCS(=O)(=O)CC4                      -8.17      0.02       3.19      
5     Z1684581074          CC1(NC(=O)NC1=O)C=2C=CC=C(C2)C3=NOC(=N3)C4CC4C=5C=CC(F)=CC5                      -8.06      0.00       3.14      
6     Z1684582773          CC1(NC(=O)NC1=O)C=2C=CC=C(C2)C3=NOC(=N3)C4CC54CCC=6C=CC=CC65                     -8.01      0.00       2.94      
7     Z115170498           CN1C=CC(=N1)NC(=O)C=2C=CC=C(C2)S(=O)(=O)N(CC=3C=CC=CC3)C=4C=CC=CC4Cl             -7.98      0.00       3.13      
8     Z98629944            O=C(NC=1C=CC=2CCCC2C1)C3CCCN(C3)C4=NS(=O)(=O)C=5C=CC=CC45                        -7.93      0.00       1.70      
9     Z32353688            O=C(NC1CCN(CC=2C=CC=CC2)CC1)C=3C=CC(Cl)=C(C3)S(=O)(=O)NCC=4C=CC=CC4              -7.92      0.00       2.75      
10    Z367369416           NC(=O)CC=1C=CC(=CC1)NC(=O)C=2C=CC=C(C2)S(=O)(=O)NC=3C=CC(Br)=CC3                 -7.91      0.06       3.56      
11    Z28082558            O=C(NC=1C=CC=C(C1)C2=NN=NN2)C=3C=CC=CC3COC=4C=CC=CC4                             -7.91      0.00       2.90      
12    Z31638457            O=C(NC=1C=CC(=CC1)N2C=NN=N2)C=3C=CC=C(C3)S(=O)(=O)NCC4CCCO4                      -7.90      0.00       2.41      
13    Z1231599501          CC(=O)NC=1C=C(C=CC1C)S(=O)(=O)NC=2C=CC=C(C2)COC3CCCCC3                           -7.87      0.23       4.22      
14    Z240494238           CC(=O)NC=1C=CC=2N=C(NC(=O)CN3C(=O)N(C)C4(CCCCC4)C3=O)SC2C1                       -7.87      0.03       4.13      
15    Z1314643367          O=C(CC=1C=CON1)NC2=NC(=CS2)C=3C=CC(=CC3)C=4C=CC=CC4                              -7.87      0.00       2.09      
16    Z104930730           O=C(CNC(C=1C=CC=CC1)C=2C=CC=CC2)N(C3CCCC3)C4CCS(=O)(=O)C4                        -7.86      0.00       1.88      
