Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
1	Z1341820887	CC1(NC(=O)NC1=O)C2CCN(CC2)C(=O)NC3=CC=C4C(=O)NC(=O)C4=C3	-11.79	0.980053	8.193686
2	Z3325175485	O=C(C=1ON=C2CCCCC12)N3CC[C@H](C3)NC=4N=CN=C5C(F)=CC=CC45	-11.62	0.979433	8.724236
3	Z1479029730	CC1=NC(=NO1)C2(CCCC2)NC(=O)NC=3C=CC(=NN3)C=4C=CC=CC4	-11.39	0.890763	8.050635
4	Z1920108520	CN1C(=O)NC=2C=CC(=CC21)C(=O)NC=3C=CC=C(C3)N4C(=O)NC(C)(C)C4=O	-11.26	0.957585	7.975361
5	Z1873504771	CC(=O)N1C[C@@H](O)C[C@@H]1C(=O)NC=2C=CC(=NC2)OC3=CC=CC(C)=C3C	-11.17	0.868645	7.961480
6	Z3164909878	CC=1C=CC(=CC1C(=O)OC2CCC(=O)NC2)NC=3N=CC=C(N3)C(F)(F)F	-11.15	0.992054	8.451311
7	Z1250698252	CC1=NN=C(O1)C=2C=CC(=CC2)NC(=O)C=3C=CC=C(C3)CN4CCS(=O)(=O)CC4	-11.13	0.909056	7.681391
8	Z1625038932	CC=1N=NC=CC1NC(=O)CN2C(=O)NC3(CC(C)CC(C)(C)C3)C2=O	-11.08	0.904815	7.889045
9	Z1027972766	COC=1C=CC(=CC1N2N=NN=C2C)NC(=O)NCC=3C=CC=C(C3)C(N)=O	-11.08	0.944500	8.067468
10	Z2159616586	CC(=O)NC=1C=CC(C)=C(C1)C2=NC(=NO2)C=3C=CC(O)=C(F)C3	-11.05	0.920312	7.720919
11	Z1497483528	O=C(NCC1CCCN(CC2(O)C3C4CC5C6CC(C3C46)C52)C1)C=7C=CC=CC7	-11.03	0.900109	8.086417
12	Z1865791867	O=C(NC=1C=CC(=CC1)C2=NC=3C=CC=CC3O2)NC4CNC(=O)C4	-10.99	0.921655	7.455914
13	Z1579705685	COC=1C=CC=CC1NC(=O)C2CCN(CCN3C(=O)OC4=CC=CN=C43)CC2	-10.99	0.686318	7.778593
14	Z2071677375	O=C(NC=1C=CC=C(C1)OC=2C=CC=NN2)C=3C=CN=C(C3)NC(=O)C4CC4	-10.99	0.935666	7.846863
15	Z1460677980	CC=1C=CC=CC1NC(=O)C=2C=NC=C(C2)C=3C=CC=4OCCC4C3	-10.96	0.928781	7.832341
16	Z1444106323	O=C(O)C=1C=CC=C(N1)C(=O)NCC(=O)NC2=CC=CC3=CC=CC=C23	-10.92	0.835252	7.158062
17	Z1658190751	[O-][N+](=O)C=1C=CC=C2C=C(NC12)C(=O)N3CCC(C3)OC4=CC=CC(F)=C4	-10.92	0.867911	8.022149
18	Z3325175487	O=C(C=1ON=C2CCCCC12)N3CC[C@H](C3)NC=4N=CN=C5C=CC(F)=CC45	-10.90	0.961815	8.700395
19	Z1684581602	CC=1C=C(C)C=C(C1)C2(CC2)C3=NC(=NO3)C=4C=CC=C(C4)C5(C)NC(=O)NC5=O	-10.84	0.959480	8.426065
20	Z2057246724	CN1C=NC(=N1)C=2C=CC=C(C2)NC(=O)N3CCCC(C3)C=4C=CN=C(N)N4	-10.78	0.942419	8.326364
21	Z1907547770	CC=1C=CC(=CC1C(=O)N2CCOCC2)NC(=O)C=3C=NC=4NC=NC4C3	-10.77	0.905961	7.720790
22	Z2014121398	O=C(NC1CCN(C1)C(=O)NC=2C=CC=CC2)C3=NNC(=O)C4=CC=CC=C34	-10.75	0.949801	7.961688
23	Z1526785744	CC=1C=CC(=CC1S(N)(=O)=O)NC(=O)C2=CC(=NN2)C3CCCCC3	-10.72	0.936654	8.142141
24	Z17050353	COC=1C=CC=CC1NC(=O)COC(=O)C2=CC=3CCC4=CC=CC=C4C3S2	-10.72	0.822171	7.603904
25	Z2077302320	O=C(C=1C=C2CCC(=O)NC2=CC1F)N3CCCC(C3)C4=CC=CC(=C4)C(F)(F)F	-10.70	0.959387	8.386541
26	Z1901764055	CC=1C=CC=CC1C(=O)NC=2C=CC(=NC2)OC=3C=CC=CC3F	-10.69	0.894850	7.811733
27	Z3289149629	O=C(CC=1C=CC=C(Cl)C1)NC=2C=CC(=NN2)C=3C=CC=CC3F	-10.68	0.926724	8.078107
28	Z134744308	CC=1C=CC(C)=C(C1)NC(=O)C(C)OC=2C=CC=C(C2)N3C=NN=N3	-10.66	0.810519	7.697019
29	Z1393755421	O=C(NCCC1=NN=C(O1)C=2C=CC=CC2)C=3C=C(F)C=C(C3)C(F)(F)F	-10.66	0.859585	7.793403
30	Z1722984098	CN1C=NC(=N1)C=2C=CC=C(C2)NC(=O)NCCNC(=O)C=3C=CC=CC3Cl	-10.65	0.825384	7.547239
31	Z3325175559	CC1CCC2=NNC(C(=O)N3CC[C@H](C3)NC4=NC=NC5=CC=CC=C45)=C2C1	-10.64	0.988996	8.815239
32	Z1730012194	CN1CC=2C=C(C=CC2NC1=O)NS(=O)(=O)C=3C=CC=C(C3)C(F)(F)F	-10.64	0.890130	7.605556
33	Z1764124102	FC=1C=CC=CC1C2=NOC(CN3N=NC(CC4=CC=CC(Br)=C4)=N3)=N2	-10.63	0.935228	8.304528
34	Z1124012987	CC1=NN=NN1C=2C=CC=C(C2)NC(=O)C=3C=CC=C(C3)C(F)F	-10.63	0.916468	7.838476
