Rank	Ligand	SMILES	Binding_Affinity(kcal/mol)
1	Z15623383	N/A	    -11.58
2	Z29999382	N/A	    -11.46
3	Z89976164	N/A	    -11.45
4	Z4462796186	N/A	    -11.38
5	Z599743450	N/A	    -11.33
6	Z227926890	N/A	    -11.32
7	Z1213673068	N/A	    -11.28
8	Z1262049531	N/A	    -11.25
9	Z195595796	N/A	    -11.20
10	Z28179136	N/A	    -11.17
11	Z1797379077	N/A	    -11.02
12	Z237915472	N/A	    -10.97
13	Z2218571548	N/A	    -10.94
14	Z32463745	N/A	    -10.93
15	Z2711553878	N/A	    -10.92
16	Z167264310	N/A	    -10.91
17	Z8976776379	N/A	    -10.90
18	Z217007390	N/A	    -10.90
19	Z32048406	N/A	    -10.88
20	Z16562757	N/A	    -10.87
21	Z1696623332	N/A	    -10.87
22	Z87640294	N/A	    -10.86
23	Z16654573	N/A	    -10.86
24	Z30160399	N/A	    -10.84
25	Z647921012	N/A	    -10.84
26	Z79592572	N/A	    -10.84
27	Z87680395	N/A	    -10.83
28	Z1498659144	N/A	    -10.83
29	Z2028056508	N/A	    -10.82
30	Z16669072	N/A	    -10.82
31	Z647916172	N/A	    -10.82
32	Z18617611	N/A	    -10.81
33	Z381193152	N/A	    -10.79
34	Z18450018	N/A	    -10.79
35	Z9118299151	N/A	    -10.78
36	Z1014009080	N/A	    -10.77
37	Z118584208	N/A	    -10.74
38	Z1585502548	N/A	    -10.73
39	Z65174864	N/A	    -10.72
40	Z1799886066	N/A	    -10.70
41	Z942553290	N/A	    -10.70
42	Z2994379945	N/A	    -10.70
43	Z110098176	N/A	    -10.70
44	Z743322406	N/A	    -10.68
45	Z1223070784	N/A	    -10.67
46	Z64463807	N/A	    -10.67
47	Z62471737	N/A	    -10.66
48	Z57908452	N/A	    -10.65
49	Z1000068080	N/A	    -10.65
50	Z1437344813	N/A	    -10.64
51	Z2058878292	N/A	    -10.64
52	Z2755043875	N/A	    -10.64
53	Z385213484	N/A	    -10.64
54	Z772608980	N/A	    -10.64
55	Z70961283	N/A	    -10.63
56	Z56917076	N/A	    -10.63
57	Z104773552	N/A	    -10.62
58	Z2393197692	N/A	    -10.62
59	Z92156119	N/A	    -10.61
60	Z366025482	N/A	    -10.61
61	Z4178905389	N/A	    -10.61
62	Z251235522	N/A	    -10.61
63	Z218875870	N/A	    -10.60
64	Z1157863579	N/A	    -10.59
65	Z45693415	N/A	    -10.59
66	Z1719855267	N/A	    -10.58
67	Z79643599	N/A	    -10.58
68	Z434378472	N/A	    -10.58
